frame_index,has_face,dominant_emotion,face_front
0,True,fear,False
1,True,fear,False
2,True,happy,False
3,True,sad,False
4,True,happy,False
5,True,fear,False
6,True,fear,False
7,True,fear,False
8,True,fear,False
9,True,sad,False
10,True,happy,False
11,True,fear,False
12,True,fear,False
13,True,fear,False
14,True,fear,False
15,True,sad,False
16,True,fear,False
17,True,fear,False
18,True,fear,False
19,True,fear,False
20,True,fear,False
21,True,happy,False
22,True,fear,False
23,True,fear,False
24,True,fear,False
25,True,fear,False
26,True,happy,False
27,True,fear,False
28,True,fear,False
29,True,happy,False
30,True,fear,False
31,True,fear,False
32,True,fear,False
33,True,fear,False
34,True,sad,False
35,True,fear,False
36,True,fear,False
37,True,fear,False
38,False,,False
39,True,fear,False
40,False,,False
41,True,angry,False
42,True,fear,False
43,True,fear,False
44,True,fear,False
45,False,,False
46,True,fear,False
47,True,neutral,False
48,False,,False
49,False,,False
50,True,fear,False
51,False,,False
52,True,fear,False
53,False,,False
54,False,,False
55,False,,False
56,False,,False
57,False,,False
58,True,fear,False
59,True,fear,False
60,False,,False
61,False,,False
62,True,fear,False
63,False,,False
64,True,fear,False
65,False,,False
66,True,fear,False
67,True,fear,False
68,True,fear,False
69,True,fear,False
70,False,,False
71,False,,False
72,True,fear,False
73,True,fear,False
74,False,,False
75,False,,False
76,True,fear,False
77,True,fear,False
78,False,,False
79,False,,False
80,False,,False
81,False,,False
82,False,,False
83,False,,False
84,True,fear,False
85,True,fear,False
86,False,,False
87,False,,False
88,False,,False
89,True,fear,False
90,False,,False
91,False,,False
92,True,fear,False
93,True,fear,False
94,True,fear,False
95,True,fear,False
96,False,,False
97,False,,False
98,False,,False
99,False,,False
100,False,,False
101,False,,False
102,True,fear,False
103,True,fear,False
104,False,,False
105,True,fear,False
106,False,,False
107,False,,False
108,True,fear,False
109,False,,False
110,False,,False
111,True,fear,False
112,False,,False
113,False,,False
114,False,,False
115,False,,False
116,False,,False
117,False,,False
118,False,,False
119,False,,False
120,False,,False
121,False,,False
122,False,,False
123,False,,False
124,False,,False
125,False,,False
126,False,,False
127,False,,False
128,False,,False
129,False,,True
130,False,,False
131,False,,False
132,False,,False
133,False,,False
134,False,,False
135,False,,False
136,False,,False
137,False,,False
138,False,,False
139,False,,False
140,False,,False
141,False,,True
142,False,,True
143,False,,True
144,False,,True
145,False,,True
146,False,,True
147,False,,True
148,False,,False
149,True,happy,False
150,False,,False
151,False,,False
152,False,,False
153,True,sad,False
154,True,fear,False
155,False,,False
156,False,,False
157,False,,True
158,False,,True
159,False,,True
160,False,,True
161,False,,True
162,False,,True
163,False,,True
164,False,,True
165,False,,True
166,False,,True
167,False,,True
168,False,,True
169,False,,True
170,False,,True
171,False,,True
172,False,,True
173,False,,True
174,False,,True
175,False,,True
176,False,,True
177,False,,True
178,False,,True
179,False,,True
180,True,happy,True
181,True,happy,True
182,True,happy,True
183,True,happy,True
184,True,happy,True
185,True,happy,True
186,True,happy,True
187,True,happy,True
188,True,happy,True
189,True,happy,True
190,True,happy,True
191,True,happy,True
192,True,sad,True
193,True,happy,True
194,True,happy,True
195,True,happy,True
196,True,happy,True
197,True,happy,True
198,True,happy,True
199,True,happy,True
200,True,happy,True
201,True,happy,True
202,True,happy,True
203,True,happy,True
204,True,happy,True
205,True,happy,True
206,True,happy,True
207,True,happy,True
208,True,happy,True
209,True,happy,True
210,True,happy,True
211,True,happy,True
212,True,happy,True
213,True,happy,True
214,True,happy,True
215,True,happy,True
216,True,happy,True
217,True,happy,True
218,True,happy,True
219,True,happy,True
220,True,happy,True
221,True,happy,True
222,True,neutral,True
223,True,neutral,True
224,True,happy,True
225,True,happy,True
226,True,happy,True
227,True,neutral,True
228,True,neutral,True
229,True,happy,True
230,True,happy,True
231,True,happy,True
232,True,happy,True
233,True,happy,True
234,True,neutral,True
235,True,happy,True
236,True,happy,True
237,True,happy,True
238,True,happy,True
239,True,happy,True
240,True,happy,True
241,True,happy,True
242,True,happy,True
243,True,happy,True
244,True,happy,True
245,True,happy,True
246,True,happy,True
247,True,happy,True
248,True,sad,True
249,True,neutral,True
250,True,neutral,True
251,True,fear,True
252,True,neutral,True
253,True,sad,True
